timestamp_ms,open,high,low,close,volume,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,stoch_rsi_k,stoch_rsi_d,adx14,atr14,bb_upper,bb_middle,bb_lower,ema20,ema50,target
1704067200000,0.55918000,0.56045000,0.55900000,0.55967000,133463.04479413,41.4871,-0.0018,-0.0011,-0.0007,42.1601,25.8749,35.8338,18.0044,22.1362,0.00298681,0.57024827,0.56387850,0.55750873,0.56277372,0.56477963,-0.0059856809538091586
1704070800000,0.55997000,0.56200000,0.55919000,0.56165000,89359.04125192,46.3104,-0.0016,-0.0012,-0.0004,55.7296,41.1927,62.7465,38.5794,23.4789,0.00297418,0.57013446,0.56371350,0.55729254,0.56266670,0.56465689,-0.006519917706267316
1704074400000,0.56178000,0.56178000,0.55870000,0.55870000,15469.65173829,40.9008,-0.0017,-0.0013,-0.0004,57.1364,51.6754,65.4300,54.6701,24.8337,0.00298174,0.57005288,0.56335650,0.55666012,0.56228892,0.56442329,0.0002684443665174513
1704078000000,0.55902000,0.55902000,0.55598000,0.55679000,20038.21245024,37.8203,-0.0020,-0.0014,-0.0005,52.7039,55.1900,59.9448,62.7071,26.6375,0.00298590,0.56999265,0.56287500,0.55575735,0.56176521,0.56412395,0.006426975943456665
1704081600000,0.55671000,0.55716000,0.55423000,0.55552000,52529.41965322,35.8851,-0.0022,-0.0016,-0.0006,41.9110,50.5838,44.3491,56.5747,28.6127,0.00298191,0.57002896,0.56236300,0.55469704,0.56117043,0.56378654,0.010012352701275118
1704085200000,0.55492000,0.55612000,0.55268000,0.55268000,15099.11550632,31.9481,-0.0026,-0.0018,-0.0008,29.9280,41.5143,30.9563,45.0834,30.6897,0.00301463,0.56965036,0.56154200,0.55343364,0.56036182,0.56335099,0.01837611429571871
1704088800000,0.55287000,0.55644000,0.55274000,0.55633000,30197.18782808,40.9194,-0.0026,-0.0019,-0.0006,29.5460,33.7950,39.8304,38.3786,32.4351,0.00306787,0.56897925,0.56100000,0.55302075,0.55997784,0.56307565,0.010371496506048813
1704092400000,0.55643000,0.55810000,0.55642000,0.55800000,43053.67949857,44.5230,-0.0024,-0.0020,-0.0004,36.8245,32.0995,58.5350,43.1073,33.1329,0.00297517,0.56832728,0.56059800,0.55286872,0.55978947,0.56287661,0.009613143524667406
1704096000000,0.55800000,0.55908000,0.55741000,0.55885000,93649.19180665,46.3177,-0.0022,-0.0021,-0.0001,52.3747,39.5817,86.4410,61.6021,33.2699,0.00288194,0.56802268,0.56037000,0.55271732,0.55970000,0.56271870,0.005211412626302645
1704099600000,0.55885000,0.56048000,0.55828000,0.56038000,59037.99853907,49.4856,-0.0019,-0.0020,0.0002,65.6443,51.6145,96.6882,80.5547,32.7043,0.00283323,0.56733382,0.56009850,0.55286318,0.55976476,0.56262699,0.005907070055256307
1704103200000,0.56049000,0.56124000,0.56004000,0.56111000,227710.78380014,50.9722,-0.0015,-0.0019,0.0004,76.6761,64.8984,100.0000,94.3764,31.8182,0.00271657,0.56685154,0.55991650,0.55298146,0.55989288,0.56256750,0.004161633665152679
1704106800000,0.56111000,0.56314000,0.56044000,0.56293000,174233.04615537,54.5625,-0.0011,-0.0018,0.0007,88.5547,76.9584,100.0000,98.8961,30.1545,0.00271539,0.56647809,0.55980800,0.55313791,0.56018213,0.56258171,0.0036704446622534983
1704110400000,0.56320000,0.56340000,0.56182000,0.56213000,179392.18438229,52.7345,-0.0008,-0.0016,0.0008,91.5067,85.5792,97.3055,99.1018,28.4994,0.00263429,0.56576893,0.55961650,0.55346407,0.56036764,0.56256400,0.006648901720652707
1704114000000,0.56230000,0.56394000,0.56181000,0.56339000,191741.72725583,55.2760,-0.0005,-0.0014,0.0009,93.8901,91.3172,97.3055,98.2037,26.7270,0.00259827,0.56557546,0.55956600,0.55355654,0.56065548,0.56259639,0.008061280771452205
1704117600000,0.56340000,0.56340000,0.56150000,0.56177000,46662.61438608,51.4457,-0.0004,-0.0012,0.0008,87.9989,91.1319,91.8324,95.4811,25.2098,0.00254839,0.56526863,0.55946950,0.55367037,0.56076163,0.56256398,0.014122706071544432
1704121200000,0.56202000,0.56408000,0.56188000,0.56370000,47093.42495074,55.4099,-0.0001,-0.0009,0.0009,90.8368,90.9086,94.5269,94.5550,23.4823,0.00253136,0.56538425,0.55950100,0.55361775,0.56104147,0.56260853,0.010341937825264482
1704124800000,0.56359000,0.56450000,0.56267000,0.56345000,159239.16202858,54.7860,0.0001,-0.0007,0.0008,89.5039,89.4465,93.6404,93.3333,21.9293,0.00248127,0.56572354,0.55962300,0.55352246,0.56127086,0.56264153,0.009204117587012145
1704128400000,0.56352000,0.56500000,0.56293000,0.56500000,185368.44130522,57.9478,0.0004,-0.0005,0.0009,95.9278,92.0895,99.1135,95.7603,20.7252,0.00245189,0.56632217,0.55981350,0.55330483,0.56162601,0.56273402,0.010545965221361385
1704132000000,0.56499000,0.56699000,0.56499000,0.56588000,194843.12998956,59.6721,0.0006,-0.0003,0.0009,94.4533,93.2950,99.1135,97.2891,20.4672,0.00241961,0.56698475,0.56035700,0.55372925,0.56203115,0.56285739,0.011805351073281173
1704135600000,0.56585000,0.56800000,0.56585000,0.56795000,195867.56053328,63.4669,0.0010,0.0000,0.0010,97.3052,95.8954,100.0000,99.4090,20.6116,0.00240035,0.56817172,0.56079400,0.55341628,0.56259485,0.56305710,0.009759422867186278
1704139200000,0.56795000,0.57000000,0.56742000,0.56976000,205642.81333804,66.4405,0.0014,0.0003,0.0012,96.7161,96.1582,100.0000,99.7045,21.4183,0.00241319,0.56961943,0.56129850,0.55297757,0.56327725,0.56331996,0.010371472152296283
1704142800000,0.56976000,0.56981000,0.56835000,0.56956000,166532.79981809,65.8032,0.0017,0.0006,0.0012,98.1367,97.3860,98.9442,99.6481,22.1673,0.00234510,0.57076251,0.56169400,0.55262549,0.56387561,0.56356467,0.010896245265281615
1704146400000,0.56982000,0.57013000,0.56813000,0.56866000,89560.09634101,62.8800,0.0019,0.0008,0.0011,94.1109,96.3212,91.9442,96.9628,22.9700,0.00232045,0.57163436,0.56219200,0.55274964,0.56433126,0.56376449,0.011973888220215965
1704150000000,0.56921000,0.57232000,0.56921000,0.57099000,46268.93932248,66.9708,0.0022,0.0011,0.0011,91.0898,94.4458,91.9442,94.2775,24.3803,0.00241613,0.57274001,0.56290200,0.55306399,0.56496543,0.56404784,-0.002735835872790009
1704153600000,0.57054000,0.57395000,0.57054000,0.57260000,97470.28808592,69.4741,0.0025,0.0014,0.0011,88.9239,91.3749,92.9999,92.2961,26.1020,0.00248712,0.57384463,0.56375600,0.55366737,0.56569253,0.56438322,-0.004463316384285928
1704157200000,0.57317000,0.57499000,0.57245000,0.57352000,123058.13315474,70.8344,0.0028,0.0017,0.0011,89.4266,89.8134,100.0000,94.9814,27.9390,0.00249090,0.57438805,0.56479800,0.55520795,0.56643800,0.56474152,-0.0006453469835981584
1704160800000,0.57401000,0.57662000,0.57296000,0.57570000,30153.37450775,73.8124,0.0032,0.0020,0.0012,91.0086,89.7864,100.0000,97.6666,29.9838,0.00257441,0.57564812,0.56576650,0.55588488,0.56732010,0.56517127,-0.0020691881040609474
1704164400000,0.57590000,0.57616000,0.57374000,0.57580000,19838.61222399,73.9438,0.0034,0.0023,0.0012,92.5317,90.9890,100.0000,100.0000,31.8826,0.00256338,0.57678312,0.56665650,0.55652988,0.56812771,0.56558808,0.007164271735385608
1704168000000,0.57559000,0.57618000,0.57475000,0.57551000,88512.15156141,72.8027,0.0036,0.0025,0.0011,93.6538,92.3980,98.0146,99.3382,33.6500,0.00248242,0.57765127,0.56748950,0.55732773,0.56883078,0.56597718,0.005769496664205444
1704171600000,0.57531000,0.57597000,0.56943000,0.56943000,197560.35678081,53.9908,0.0032,0.0026,0.0005,78.5017,88.2291,64.6812,87.5653,32.0890,0.00277225,0.57759014,0.56794200,0.55829386,0.56888785,0.56611258,0.012478238016835683
1704175200000,0.57138000,0.57176000,0.57003000,0.57005000,50683.94947735,55.2604,0.0029,0.0027,0.0002,64.3123,78.8226,33.4688,65.3882,30.6396,0.00274066,0.57754547,0.56838900,0.55923253,0.56899853,0.56626699,0.009532527925857544
1704178800000,0.57006000,0.57324000,0.57001000,0.57315000,347273.63307779,61.0479,0.0028,0.0027,0.0001,56.8770,66.5637,13.9104,37.3535,29.8262,0.00277561,0.57792052,0.56890000,0.55987948,0.56939391,0.56653691,0.007474396000077912
1704182400000,0.57307000,0.57487000,0.57114000,0.57451000,254538.13464486,63.2914,0.0029,0.0027,0.0001,67.5269,62.9054,29.4478,25.6090,29.5966,0.00284378,0.57829197,0.56951900,0.56074603,0.56988116,0.56684958,-0.005515521984980292
1704186000000,0.57454000,0.58167000,0.57261000,0.57994000,400711.46156672,70.5779,0.0033,0.0029,0.0005,79.4772,67.9604,55.0371,32.7984,30.9062,0.00328780,0.57975035,0.57034650,0.56094265,0.57083914,0.56736293,-0.013663288398815828
1704189600000,0.57994000,0.58051000,0.57662000,0.57884000,481962.07731852,67.6484,0.0035,0.0030,0.0005,82.4557,76.4866,66.0639,50.1830,32.1222,0.00333081,0.58043229,0.57120000,0.56196771,0.57160113,0.56781301,-0.010175288778173301
1704193200000,0.57900000,0.57986000,0.57501000,0.57658000,405605.20967511,61.9584,0.0035,0.0031,0.0004,76.4554,79.4628,63.8370,61.6460,32.4708,0.00343933,0.58068228,0.57184400,0.56300572,0.57207531,0.56815682,-0.012372875041287718
1704196800000,0.57669000,0.57862000,0.57411000,0.57551000,380465.34334117,59.4105,0.0033,0.0031,0.0002,64.0228,74.3113,45.1808,58.3606,32.3778,0.00351580,0.58052517,0.57244700,0.56436883,0.57240242,0.56844518,-0.006135095496091952
1704200400000,0.57546000,0.57805000,0.57465000,0.57745000,67651.13882908,62.4273,0.0033,0.0032,0.0001,59.4975,66.6586,36.4585,48.4921,32.2915,0.00350753,0.58066036,0.57306950,0.56547864,0.57288314,0.56879831,-0.0062538204344191346
